panel,task,success,goal_ever_reached,max_hold_ticks,final_goal_distance_m,collision_free,max_undesired_force_n,fell,control_steps,stop_reason,student_sha256,harness_commit,harness_dirty
approach-c2-92601,00120-stop-clear,False,False,0,3.3135,True,0.0,False,575,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00120-stop-corridor,False,False,0,2.9614,True,0.0,False,575,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00265-stop-clear,False,False,0,1.2103,True,0.0,False,500,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00265-stop-corridor,False,True,0,0.327,True,0.0,False,500,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00413-stop-clear,False,False,0,1.7564,True,0.0,False,600,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00677-stop-clear,False,True,36,0.1865,True,0.0,False,350,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00677-stop-corridor,False,False,0,0.2827,True,0.0,False,350,deadline,426f0fc526a7,661a234,1
approach-c2-92601,00707-stop-clear,False,False,0,1.2049,True,0.0,False,300,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00707-stop-corridor,False,True,0,1.0627,True,0.0,False,300,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00711-stop-clear,False,False,0,1.9041,True,0.0,False,475,deadline,426f0fc526a7,661a234,0
approach-c2-92601,00711-stop-corridor,False,False,0,3.1854,False,534.39,False,149,contact,426f0fc526a7,661a234,0
approach-c2-92601,00770-stop-clear,False,True,24,0.235,True,0.0,False,425,deadline,426f0fc526a7,661a234,2
approach-c2-92601,00770-stop-corridor,False,False,0,1.2329,True,0.0,False,425,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00801-stop-clear,False,False,0,3.0117,True,0.0,False,625,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00801-stop-corridor,False,False,0,4.7875,True,0.0,False,625,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00908-stop-clear,False,False,0,1.03,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00908-stop-corridor,False,False,0,0.5901,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00976-stop-clear,False,False,0,1.5078,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92601,00976-stop-corridor,False,False,0,1.7543,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00120-stop-clear,False,False,0,3.3028,True,0.0,False,575,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00120-stop-corridor,False,False,0,3.7016,False,92.59,False,255,contact,426f0fc526a7,000d185,0
approach-c2-92602,00265-stop-clear,False,False,0,0.3355,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
