family_id,source_family_id,variant_id,source_identity_status,status,evidence_valid,evidence_reasons,cells,window_predicted_mm,nominal_easy,nominal_hard,adapted_easy,adapted_hard,operators,scenes,constraint_axis
mf_005_c08,mf_005_c08,mf_005_c08,manifest,verified,1,,13,97.7,accepted,rejected,accepted,accepted,local_crouch,mf_005_c08_easy;mf_005_c08_hard;mf_005_c08_z1215;mf_005_c08_z1280;mf_005_c08_z1297,overhead
mf_x002_c08,mf_x002_c08,mf_x002_c08,manifest,not_verified,0,binding_station_mismatch,6,82.2,accepted,rejected,accepted,rejected,local_crouch,mf_x002_c08_easy;mf_x002_c08_hard,overhead
mf_x003_c08,mf_x003_c08,mf_x003_c08,manifest,not_verified,0,binding_station_mismatch,7,86.1,accepted,rejected,accepted,accepted,local_crouch,mf_x003_c08_easy;mf_x003_c08_hard;mf_x003_c08_z1228;mf_x003_c08_z1239,overhead
duck_000,unknown,duck_000,unknown,not_verified,0,route_does_not_reach_obstacle,2,,,,,,local_crouch,plane,unknown
duck_001,cf_005_056,duck_001,manifest,not_verified,1,,6,53.1,accepted,rejected,rejected,rejected,local_crouch,cf_005_056_easy;cf_005_056_hard;plane,overhead
duck_002,cf_005_056,duck_002,manifest,verified,1,,6,53.1,accepted,rejected,accepted,accepted,local_crouch,cf_005_056_easy;cf_005_056_hard;plane,overhead
duck_003,cf_005_056,duck_003,manifest,verified,1,,6,178.1,accepted,rejected,accepted,accepted,local_crouch,cf_005_056_easy;cf_005_056_hard;plane,overhead
n_013_ceiling_overhead_left,unknown,n_013_ceiling_overhead_left,unknown,not_verified,0,route_does_not_reach_obstacle,4,,accepted,rejected,rejected,rejected,local_crouch,,unknown
n_013_wall_chest_left,unknown,n_013_wall_chest_left,unknown,not_verified,0,route_does_not_reach_obstacle,4,,accepted,rejected,accepted,rejected,local_arm_tuck,,unknown
n_013_wall_waist_left,unknown,n_013_wall_waist_left,unknown,not_verified,0,route_does_not_reach_obstacle,4,,accepted,rejected,accepted,rejected,local_arm_tuck,,unknown
n_013_wall_waist_right,unknown,n_013_wall_waist_right,unknown,not_verified,0,route_does_not_reach_obstacle,4,,accepted,rejected,accepted,rejected,local_arm_tuck,,unknown
n_064_ceiling_overhead_left,unknown,n_064_ceiling_overhead_left,unknown,not_verified,0,route_does_not_reach_obstacle,4,,rejected,rejected,rejected,rejected,local_crouch,,unknown
n_064_wall_chest_left,unknown,n_064_wall_chest_left,unknown,not_verified,0,route_does_not_reach_obstacle,2,,rejected,,rejected,,local_arm_tuck,,unknown
