dimension,value,episodes,share,configured
binding_keypoint,head_torso,33,0.485294,1
binding_keypoint,shoulder_left,3,0.044118,1
binding_keypoint,shoulder_right,0,0.0,1
binding_keypoint,wrist_left,0,0.0,1
binding_keypoint,wrist_right,0,0.0,1
binding_keypoint,pelvis,0,0.0,1
binding_keypoint,knee_left,0,0.0,1
binding_keypoint,knee_right,0,0.0,1
binding_keypoint,foot_left,0,0.0,1
binding_keypoint,foot_right,0,0.0,1
binding_keypoint,unknown,32,0.470588,0
constraint_axis,overhead,44,0.647059,1
constraint_axis,lateral_gap,0,0.0,1
constraint_axis,ground_support,0,0.0,1
constraint_axis,unknown,24,0.352941,0
constraint_coordinate_bucket,under_0.9,0,0.0,1
constraint_coordinate_bucket,0.9_1.0,0,0.0,1
constraint_coordinate_bucket,1.0_1.1,0,0.0,1
constraint_coordinate_bucket,1.1_1.2,0,0.0,1
constraint_coordinate_bucket,1.2_1.3,32,0.470588,1
constraint_coordinate_bucket,1.3_1.4,12,0.176471,1
constraint_coordinate_bucket,1.4_1.5,0,0.0,1
constraint_coordinate_bucket,at_least_1.5,0,0.0,1
constraint_coordinate_bucket,under_0.3,0,0.0,1
constraint_coordinate_bucket,0.3_0.4,0,0.0,1
constraint_coordinate_bucket,0.4_0.5,0,0.0,1
constraint_coordinate_bucket,0.5_0.6,0,0.0,1
constraint_coordinate_bucket,0.6_0.7,0,0.0,1
constraint_coordinate_bucket,0.7_0.8,0,0.0,1
constraint_coordinate_bucket,0.8_0.9,0,0.0,1
constraint_coordinate_bucket,at_least_0.9,0,0.0,1
constraint_coordinate_bucket,under_0.1,0,0.0,1
constraint_coordinate_bucket,0.1_0.2,0,0.0,1
constraint_coordinate_bucket,0.2_0.3,0,0.0,1
constraint_coordinate_bucket,at_least_0.5,0,0.0,1
constraint_coordinate_bucket,unknown,24,0.352941,0
margin_bucket,strike,12,0.176471,1
margin_bucket,clear_0_10,1,0.014706,1
margin_bucket,clear_10_25,3,0.044118,1
margin_bucket,clear_25_50,2,0.029412,1
margin_bucket,clear_50_100,10,0.147059,1
margin_bucket,clear_over_100,8,0.117647,1
margin_bucket,unknown,32,0.470588,0
edit_behaviour_class,crouch,40,0.588235,1
edit_behaviour_class,arms,14,0.205882,1
edit_behaviour_class,unknown,14,0.205882,0
operator,local_crouch,40,0.588235,1
operator,local_arm_tuck,14,0.205882,1
operator,unknown,14,0.205882,0
cell_role,nominal_easy,12,0.176471,1
cell_role,nominal_hard,11,0.161765,1
cell_role,adapted_easy,12,0.176471,1
cell_role,adapted_hard,11,0.161765,1
cell_role,probe,22,0.323529,1
cell_role,unknown,0,0.0,0
