dimension,value,episodes,share,configured
binding_keypoint,head_torso,41,0.539474,1
binding_keypoint,shoulder_left,3,0.039474,1
binding_keypoint,shoulder_right,0,0.0,1
binding_keypoint,wrist_left,0,0.0,1
binding_keypoint,wrist_right,0,0.0,1
binding_keypoint,pelvis,0,0.0,1
binding_keypoint,knee_left,0,0.0,1
binding_keypoint,knee_right,0,0.0,1
binding_keypoint,foot_left,0,0.0,1
binding_keypoint,foot_right,0,0.0,1
binding_keypoint,unknown,32,0.421053,0
constraint_axis,overhead,52,0.684211,1
constraint_axis,lateral_gap,0,0.0,1
constraint_axis,ground_support,0,0.0,1
constraint_axis,unknown,24,0.315789,0
constraint_coordinate_bucket,under_0.9,0,0.0,1
constraint_coordinate_bucket,0.9_1.0,0,0.0,1
constraint_coordinate_bucket,1.0_1.1,0,0.0,1
constraint_coordinate_bucket,1.1_1.2,0,0.0,1
constraint_coordinate_bucket,1.2_1.3,36,0.473684,1
constraint_coordinate_bucket,1.3_1.4,16,0.210526,1
constraint_coordinate_bucket,1.4_1.5,0,0.0,1
constraint_coordinate_bucket,at_least_1.5,0,0.0,1
constraint_coordinate_bucket,under_0.3,0,0.0,1
constraint_coordinate_bucket,0.3_0.4,0,0.0,1
constraint_coordinate_bucket,0.4_0.5,0,0.0,1
constraint_coordinate_bucket,0.5_0.6,0,0.0,1
constraint_coordinate_bucket,0.6_0.7,0,0.0,1
constraint_coordinate_bucket,0.7_0.8,0,0.0,1
constraint_coordinate_bucket,0.8_0.9,0,0.0,1
constraint_coordinate_bucket,at_least_0.9,0,0.0,1
constraint_coordinate_bucket,under_0.1,0,0.0,1
constraint_coordinate_bucket,0.1_0.2,0,0.0,1
constraint_coordinate_bucket,0.2_0.3,0,0.0,1
constraint_coordinate_bucket,at_least_0.5,0,0.0,1
constraint_coordinate_bucket,unknown,24,0.315789,0
margin_bucket,strike,14,0.184211,1
margin_bucket,clear_0_10,1,0.013158,1
margin_bucket,clear_10_25,3,0.039474,1
margin_bucket,clear_25_50,3,0.039474,1
margin_bucket,clear_50_100,13,0.171053,1
margin_bucket,clear_over_100,10,0.131579,1
margin_bucket,unknown,32,0.421053,0
edit_behaviour_class,crouch,48,0.631579,1
edit_behaviour_class,arms,14,0.184211,1
edit_behaviour_class,unknown,14,0.184211,0
operator,local_crouch,48,0.631579,1
operator,local_arm_tuck,14,0.184211,1
operator,unknown,14,0.184211,0
cell_role,nominal_easy,14,0.184211,1
cell_role,nominal_hard,13,0.171053,1
cell_role,adapted_easy,14,0.184211,1
cell_role,adapted_hard,13,0.171053,1
cell_role,probe,22,0.289474,1
cell_role,unknown,0,0.0,0
