episode_id,family_id,cell_role,motion_role,operator,behaviour_class,scene_id,obstacle_underside_m,route_reaches_obstacle,frames_inside_obstacle,outcome,rejection_reasons,min_clearance_mm,clearance_frame,closest_body,external_force_n,overhead_force_n,lateral_force_n,self_force_n,contact_body,contact_frame,drift_rate_mps,frames,trajectory_path,scene_path,video_room,video_side,video_ego,video_front,video_top,n_videos,commanded_amplitude_rad,executed_amplitude_rad,operator_survival,survival_drift_margin,source_family_id,variant_id,source_identity_status,constraint_axis,constraint_coordinate_m,binding_keypoint,binding_keypoint_margin_mm,edit_behaviour_class,binding_station_offset_mm
mf_005_c08/w_crouch08_easy,mf_005_c08,adapted_easy,adapted,local_crouch,crouch,mf_005_c08_easy,1.3551,1,31,accepted,,101.7,132,torso_link,0.0,0.0,0.0,81.0,,,0.0996,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_easy.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.3551,head_torso,101.7,crouch,0.0
mf_005_c08/w_crouch08_hard,mf_005_c08,adapted_hard,adapted,local_crouch,crouch,mf_005_c08_hard,1.2574,1,31,accepted,,10.8,130,torso_link,0.0,0.0,0.0,81.0,,,0.0999,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_hard.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2574,head_torso,10.8,crouch,0.0
mf_005_c08/w_crouch08_z1215,mf_005_c08,probe,adapted,local_crouch,crouch,mf_005_c08_z1215,1.2154,1,34,rejected,disallowed_robot_contact;unstable_reference_drift,-0.0,135,torso_link,1017.4,1017.4,0.0,81.0,torso_link,104,0.1873,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_z1215/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1215.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2154,head_torso,-0.0,crouch,0.0
mf_005_c08/w_crouch08_z1280_p0,mf_005_c08,probe,adapted,local_crouch,crouch,mf_005_c08_z1280,1.2801,1,31,accepted,,32.1,131,torso_link,0.0,0.0,0.0,81.0,,,0.0996,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_z1280_p0/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,32.1,crouch,0.0
mf_005_c08/w_crouch08_z1280_p1,mf_005_c08,probe,adapted,local_crouch,crouch,mf_005_c08_z1280,1.2801,1,31,accepted,,38.1,130,torso_link,0.0,0.0,0.0,134.1,,,0.1007,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_z1280_p1/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,38.1,crouch,0.0
mf_005_c08/w_crouch08_z1280_p2,mf_005_c08,probe,adapted,local_crouch,crouch,mf_005_c08_z1280,1.2801,1,31,accepted,,24.1,131,torso_link,0.0,0.0,0.0,163.1,,,0.1002,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_crouch08_z1280_p2/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,24.1,crouch,0.0
mf_005_c08/w_nominal_easy,mf_005_c08,nominal_easy,nominal,,other,mf_005_c08_easy,1.3551,1,25,accepted,,56.2,102,torso_link,0.0,0.0,0.0,64.4,,,0.04,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_easy.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.3551,head_torso,56.2,unknown,0.0
mf_005_c08/w_nominal_hard,mf_005_c08,nominal_hard,nominal,,other,mf_005_c08_hard,1.2574,1,42,rejected,disallowed_robot_contact;unstable_reference_drift,-0.0,140,torso_link,3253.5,2758.2,1725.6,67.3,torso_link,90,0.3438,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_hard.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2574,head_torso,-0.0,unknown,0.0
mf_005_c08/w_nominal_z1280,mf_005_c08,probe,nominal,,other,mf_005_c08_z1280,1.2801,1,37,rejected,disallowed_robot_contact,-0.0,130,torso_link,85.0,85.0,0.0,62.6,torso_link,130,0.1255,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_z1280/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,-0.0,unknown,0.0
mf_005_c08/w_nominal_z1280_p1,mf_005_c08,probe,nominal,,other,mf_005_c08_z1280,1.2801,1,38,rejected,disallowed_robot_contact;unstable_reference_drift,-0.0,101,torso_link,106.2,106.2,0.0,57.8,torso_link,101,0.2402,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_z1280_p1/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,-0.0,unknown,0.0
mf_005_c08/w_nominal_z1280_p2,mf_005_c08,probe,nominal,,other,mf_005_c08_z1280,1.2801,1,39,rejected,disallowed_robot_contact;unstable_reference_drift,-0.0,107,torso_link,113.3,113.3,0.0,57.8,torso_link,101,0.1537,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_z1280_p2/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,-0.0,unknown,0.0
mf_005_c08/w_nominal_z1280_p3,mf_005_c08,probe,nominal,,other,mf_005_c08_z1280,1.2801,1,38,rejected,disallowed_robot_contact;unstable_reference_drift,-0.0,101,torso_link,121.2,121.2,0.0,152.2,torso_link,101,0.1863,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_z1280_p3/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1280.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2801,head_torso,-0.0,unknown,0.0
mf_005_c08/w_nominal_z1297,mf_005_c08,probe,nominal,,other,mf_005_c08_z1297,1.2971,1,26,accepted,,0.3,100,torso_link,0.0,0.0,0.0,68.2,,,0.0501,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_005_c08/w_nominal_z1297/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_005_c08_z1297.usda,,,,,,,,,,,mf_005_c08,mf_005_c08,manifest,overhead,1.2971,head_torso,0.3,unknown,0.0
mf_x002_c08/x002_crouch_easy,mf_x002_c08,adapted_easy,adapted,local_crouch,crouch,mf_x002_c08_easy,1.3478,1,62,accepted,,53.4,151,torso_link,0.0,0.0,0.0,79.1,,,0.015,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_x002_c08/x002_crouch_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_x002_c08_easy.usda,,,,,,,,,,,mf_x002_c08,mf_x002_c08,manifest,overhead,1.3478,head_torso,53.4,crouch,2000.0
mf_x002_c08/x002_crouch_hard,mf_x002_c08,adapted_hard,adapted,local_crouch,crouch,mf_x002_c08_hard,1.2567,1,76,rejected,disallowed_robot_contact;unstable_reference_drift,-0.1,182,torso_link,407.6,407.6,22.3,79.1,torso_link,168,0.169,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_x002_c08/x002_crouch_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_x002_c08_hard.usda,,,,,,,,,,,mf_x002_c08,mf_x002_c08,manifest,overhead,1.2567,head_torso,-0.1,crouch,2000.0
mf_x002_c08/x002_crouch_z1300,mf_x002_c08,probe,adapted,local_crouch,crouch,,,,,accepted,,,,,0.0,0.0,0.0,79.1,,,0.015,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_x002_c08/x002_crouch_z1300/trajectories/000000.trajectory.pkl,,,,,,,,,,,,mf_x002_c08,mf_x002_c08,manifest,overhead,1.2567075519931916,,,crouch,
mf_x002_c08/x002_nominal_easy,mf_x002_c08,nominal_easy,nominal,,other,mf_x002_c08_easy,1.3478,1,42,accepted,,54.1,119,torso_link,0.0,0.0,0.0,79.1,,,-0.0087,199,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_x002_c08/x002_nominal_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_x002_c08_easy.usda,,,,,,,,,,,mf_x002_c08,mf_x002_c08,manifest,overhead,1.3478,head_torso,54.1,unknown,2000.0
mf_x002_c08/x002_nominal_hard,mf_x002_c08,nominal_hard,nominal,,other,mf_x002_c08_hard,1.2567,1,30,rejected,disallowed_robot_contact,-0.4,100,torso_link,271.0,266.2,50.8,79.1,torso_link,96,0.0,109,/data/robotixx/groot-wbc-kimodo-m0/matched/mf_x002_c08/x002_nominal_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/g1_counterfactual/mf_x002_c08_hard.usda,,,,,,,,,,,mf_x002_c08,mf_x002_c08,manifest,overhead,1.2567,head_torso,-0.4,unknown,2000.0
