clip,prompt_intent,behaviour_class,frames,embodiment_feasible,rejection_reasons,root_height_min_m,saturated_frame_fraction,reference_semantic_valid,executed_semantic_valid,self_collision_free,worth_a_rollout,controller_trackable,controller_trackability_evidence,controller_trackability_rollouts
052_a_person_walks_slowly_and_ducks_down_low_to_pass,a person walks slowly and ducks down low to pass,crouch,120,0,joint_saturation 0.036 > 0.009,0.6667,0.975,0,,1,0,,no_empty_room_evidence,0
046_a_person_crouches_down_low_and_moves_forward_at,a person crouches down low and moves forward at,crouch,120,0,joint_saturation 0.035 > 0.009,0.5526,1.0,,,1,0,,no_empty_room_evidence,0
045_a_person_crouches_down_low_and_moves_forward_slo,a person crouches down low and moves forward slo,crouch,120,0,joint_saturation 0.034 > 0.009,0.5082,1.0,,,1,0,,no_empty_room_evidence,0
047_a_person_crouches_down_low_and_moves_forward_bri,a person crouches down low and moves forward bri,crouch,120,0,joint_saturation 0.034 > 0.009,0.5348,1.0,,,1,0,,no_empty_room_evidence,0
063_a_person_steps_sideways_slowly_while_facing_forw,a person steps sideways slowly while facing forw,side_narrow,120,0,joint_saturation 0.011 > 0.009,0.738,0.2916666666666667,1,,1,0,,no_empty_room_evidence,0
061_a_person_walks_briskly_and_ducks_down_low_to_pas,a person walks briskly and ducks down low to pas,crouch,120,0,joint_saturation 0.010 > 0.009,0.6739,0.25833333333333336,1,,1,0,,accepted_nonempty_only,0
064_a_person_steps_sideways_at_a_steady_pace_while_f,a person steps sideways at a steady pace while f,side_narrow,120,1,,0.7219,0.20833333333333334,1,,1,1,,accepted_nonempty_only,0
147_a_person_walks_slowly_forward_squats_down_to_pic,a person walks slowly forward squats down to pic,walk,120,1,,0.5829,0.24166666666666667,,,1,1,,no_empty_room_evidence,0
065_a_person_steps_sideways_briskly_while_facing_for,a person steps sideways briskly while facing for,side_narrow,120,1,,0.71,0.2,1,,1,1,,accepted_nonempty_only,0
135_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7228,0.19166666666666668,,,1,1,,accepted_nonempty_only,0
056_a_person_walks_at_a_steady_pace_and_ducks_down_l,a person walks at a steady pace and ducks down l,crouch,120,1,,0.5238,0.18333333333333332,1,,1,1,,accepted_nonempty_only,0
027_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7219,0.16666666666666666,0,,1,0,,accepted_nonempty_only,0
078_a_person_walks_backwards_briskly_curving_gently,a person walks backwards briskly curving gently,turn,120,1,,0.7436,0.16666666666666666,,,1,1,,accepted_nonempty_only,0
087_a_person_stands_still_then_begins_walking_at_a_s,a person stands still then begins walking at a s,stop_start,120,1,,0.722,0.14166666666666666,1,,1,1,,accepted_nonempty_only,0
145_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7233,0.13333333333333333,,,1,1,,accepted_nonempty_only,0
073_a_person_walks_backwards_at_a_steady_pace_curvin,a person walks backwards at a steady pace curvin,turn,120,1,,0.7419,0.11666666666666667,,,1,1,,accepted_nonempty_only,0
092_a_person_stands_still_then_begins_walking_briskl,a person stands still then begins walking briskl,stop_start,120,1,,0.7027,0.125,1,,1,1,,accepted_nonempty_only,0
042_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7082,0.11666666666666667,,,1,1,,accepted_nonempty_only,0
060_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7268,0.11666666666666667,0,,1,0,,accepted_nonempty_only,0
011_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7243,0.08333333333333333,,,1,1,,accepted_nonempty_only,0
059_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.725,0.08333333333333333,0,,1,0,,accepted_nonempty_only,0
