stage,policy_id,assigned,scored,passes,physical_failures,unknown,interrupted,unrun,steps_known,wall_seconds_known,nonzero_exit_receipts,schedule_counts
acquisition,seed93201_support_broad,32,32,22,10,0,0,0,38144,1972.975690725003,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 4, ""prior_splice_e050_r265"": 8, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
acquisition,seed93201_support_mixture,32,32,28,4,0,0,0,38144,2141.4212789200083,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 4, ""prior_splice_e050_r265"": 8, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
acquisition,seed93201_support_strict,32,32,22,10,0,0,0,38144,1982.2999614750006,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 4, ""prior_splice_e050_r265"": 8, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
acquisition,seed93202_support_broad,32,32,0,32,0,0,0,27968,1588.8611420269935,19,"{""neutral"": 1, ""prior_splice_e015_r265"": 2, ""prior_splice_e050_r265"": 2, ""short_e015_r265"": 2, ""short_e070_r265"": 2, ""sustained_e015_r255"": 2, ""sustained_e070_r255"": 2}"
acquisition,seed93202_support_mixture,32,32,12,20,0,0,0,32556,1731.3929563500042,11,"{""neutral"": 3, ""prior_splice_e015_r265"": 4, ""prior_splice_e050_r265"": 2, ""short_e015_r265"": 3, ""short_e070_r265"": 3, ""sustained_e015_r255"": 3, ""sustained_e070_r255"": 3}"
acquisition,seed93202_support_strict,32,32,22,10,0,0,0,38144,2029.7638845060028,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 8, ""prior_splice_e050_r265"": 4, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
acquisition,seed93203_support_broad,32,32,9,23,0,0,0,37412,1888.7518430290074,2,"{""neutral"": 4, ""prior_splice_e015_r265"": 4, ""prior_splice_e050_r265"": 5, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 5}"
acquisition,seed93203_support_mixture,32,32,19,13,0,0,0,38144,1931.0580103299835,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 6, ""prior_splice_e050_r265"": 6, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
acquisition,seed93203_support_strict,32,32,24,8,0,0,0,38144,1930.5763448380112,0,"{""neutral"": 4, ""prior_splice_e015_r265"": 6, ""prior_splice_e050_r265"": 6, ""short_e015_r265"": 4, ""short_e070_r265"": 4, ""sustained_e015_r255"": 4, ""sustained_e070_r255"": 4}"
evaluation,fixed_neutral,10,10,4,6,0,0,0,11236,579.0940730989896,1,"{""neutral"": 9}"
evaluation,fixed_prior_splice_e015_r265,10,7,2,5,0,0,3,7992,412.72570114299015,1,"{""prior_splice_e015_r265"": 6}"
evaluation,fixed_prior_splice_e050_r265,10,6,2,4,0,0,4,6800,345.1153840090119,1,"{""prior_splice_e050_r265"": 5}"
evaluation,fixed_short_e015_r265,10,8,4,4,0,0,2,8852,465.4381589070035,1,"{""short_e015_r265"": 7}"
evaluation,fixed_short_e070_r265,10,9,4,5,0,0,1,10044,524.9790140070036,1,"{""short_e070_r265"": 8}"
evaluation,fixed_sustained_e015_r255,10,9,5,4,0,0,1,10040,523.0453191220076,1,"{""sustained_e015_r255"": 8}"
evaluation,fixed_sustained_e070_r255,10,9,4,5,0,0,1,10040,527.4088097730055,1,"{""sustained_e070_r255"": 8}"
evaluation,m8_reused_seed93201_analytic_contrast,10,6,2,4,0,0,4,6604,336.665526802004,2,"{""prior_splice_e050_r265"": 4}"
evaluation,m8_reused_seed93202_analytic_contrast,10,8,4,4,0,0,2,8988,460.75941887099907,2,"{""prior_splice_e015_r265"": 6}"
evaluation,m8_reused_seed93203_analytic_contrast,10,8,4,4,0,0,2,8988,455.16019591300574,2,"{""prior_splice_e050_r265"": 6}"
evaluation,script,10,10,5,5,0,0,0,11724,596.5573578259937,1,"{""prior_splice_e015_r265"": 1, ""prior_splice_e050_r265"": 4, ""sustained_e070_r255"": 4}"
evaluation,seed93201_support_broad,10,9,4,5,0,0,1,10376,545.7791196769904,1,"{""prior_splice_e050_r265"": 8}"
evaluation,seed93201_support_mixture,10,10,4,6,0,0,0,11372,575.7936015619998,2,"{""prior_splice_e050_r265"": 8}"
evaluation,seed93201_support_strict,10,10,4,6,0,0,0,11372,583.5360059240047,2,"{""prior_splice_e050_r265"": 8}"
evaluation,seed93202_support_broad,10,10,4,6,0,0,0,11372,582.4096238119819,2,"{""prior_splice_e015_r265"": 8}"
evaluation,seed93202_support_mixture,10,7,2,5,0,1,2,7796,398.163555000996,2,"{""prior_splice_e015_r265"": 5}"
evaluation,seed93202_support_strict,10,8,3,5,0,0,2,8988,458.32934097499674,2,"{""prior_splice_e015_r265"": 6}"
evaluation,seed93203_support_broad,10,9,5,4,0,0,1,9844,510.2298971279961,2,"{""prior_splice_e050_r265"": 1, ""sustained_e070_r255"": 6}"
evaluation,seed93203_support_mixture,10,10,4,6,0,0,0,11372,588.8020644909993,2,"{""prior_splice_e015_r265"": 8}"
evaluation,seed93203_support_strict,10,8,3,5,0,0,2,8988,456.11562550100643,2,"{""prior_splice_e015_r265"": 6}"
