stage,assignment_id,policy_id,arm,corpus_seed,physics_seed,scene_id,candidate_id,proposal_channel,role,cell_id,outcome,classification,passage,physics_steps,wall_seconds,exit_status,selected_schedule,passage_time_s,measurement_admitted,state,result_path,contact_dt_s
acquisition,seed93201_support_strict/round_005/student/learned_neutral,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,student,learned_neutral,pass,complete_pass,True,1192,65.20476862500072,0,prior_splice_e050_r265,4.82,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/student/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_prior_splice_e050_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_prior_splice_e050_r265,pass,complete_pass,True,1192,79.88515277899933,0,prior_splice_e050_r265,4.82,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_short_e070_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_short_e070_r265,failure,verified_task_failure,False,1192,76.36754240700066,0,short_e070_r265,NA,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_neutral,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_neutral,failure,verified_task_failure,False,1192,63.11364694800068,0,neutral,NA,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_sustained_e015_r255,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_sustained_e015_r255,pass,complete_pass,True,1192,60.595812849998765,0,sustained_e015_r255,5.36,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_prior_splice_e015_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_prior_splice_e015_r265,pass,complete_pass,True,1192,60.799757503000365,0,prior_splice_e015_r265,4.82,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_sustained_e070_r255,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_sustained_e070_r255,pass,complete_pass,True,1192,60.66143036500034,0,sustained_e070_r255,5.36,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_005/teacher/forced_short_e015_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_1723.json,primary_candidate_93201_1723,support_strict,teacher,forced_short_e015_r265,failure,verified_task_failure,False,1192,63.41746492299899,0,short_e015_r265,NA,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_005/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_006/student/learned_neutral,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,student,learned_neutral,pass,complete_pass,True,1192,59.33698653000101,0,prior_splice_e050_r265,4.76,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/student/result.json,0.005
acquisition,seed93201_support_strict/round_006/teacher/forced_prior_splice_e050_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,teacher,forced_prior_splice_e050_r265,pass,complete_pass,True,1192,60.043739239998104,0,prior_splice_e050_r265,4.76,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_006/teacher/forced_sustained_e015_r255,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,teacher,forced_sustained_e015_r255,pass,complete_pass,True,1192,59.44335214700186,0,sustained_e015_r255,5.28,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_006/teacher/forced_short_e070_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,teacher,forced_short_e070_r265,failure,verified_task_failure,False,1192,59.341828037002415,0,short_e070_r265,NA,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_006/teacher/forced_prior_splice_e015_r265,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,teacher,forced_prior_splice_e015_r265,pass,complete_pass,True,1192,59.48727032899842,0,prior_splice_e015_r265,4.76,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/teachers/result.json,0.005
acquisition,seed93201_support_strict/round_006/teacher/forced_neutral,seed93201_support_strict,support_strict,93201,93201,/home/linjiw/research-data/groot-wbc/m2s-support-preserving-pools-20260910-v1/seed_93201/definitions/primary_candidate_93201_2355.json,primary_candidate_93201_2355,support_strict,teacher,forced_neutral,failure,verified_task_failure,False,1192,59.49187095199886,0,neutral,NA,True,scored,/home/linjiw/research-data/groot-wbc/m2s-support-pilot-acquisition-20260910-v1/seed93201_support_strict/round_006/teachers/result.json,0.005
