arm,split,seed,completed,motions,mean_progress,failed,wall_seconds
offline-30k,development,91260,10,20,0.629,00149 00187 00207 00333 00379 00611 00623 00835 00949 00980,103
offline-30k,train,91260,86,89,0.9697,00163 00335 00521,109
offline-6k,development,91260,5,20,0.516,00117 00149 00150 00187 00207 00333 00379 00611 00623 00744 00802 00835 00949 00980 00981,106
offline-6k,train,91260,86,89,0.971,00044 00163 00335,108
s1-11200,development,91260,11,20,0.6595,00149 00187 00207 00333 00379 00611 00623 00949 00980,102
s1-11200,train,91260,84,89,0.9626,00163 00335 00521 00805 00820,120
s1-12800,development,91260,11,20,0.6807,00149 00187 00207 00333 00379 00611 00623 00949 00980,104
s1-12800,train,91260,86,89,0.969,00163 00335 00521,122
s1-14400,development,91260,9,20,0.6605,00047 00117 00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s1-14400,development,91261,9,20,0.6204,00149 00187 00207 00333 00379 00611 00623 00835 00949 00980 00981,108
s1-14400,development,91262,9,20,0.6021,00047 00117 00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s1-14400,train,91260,87,89,0.9875,00163 00522,124
s1-14400,train,91261,85,89,0.9688,00163 00258 00521 00731,125
s1-14400,train,91262,85,89,0.9629,00163 00287 00446 00521,124
s1-1600,development,91260,10,20,0.6436,00047 00117 00149 00207 00333 00379 00611 00623 00949 00980,105
s1-1600,train,91260,85,89,0.9629,00163 00335 00421 00521,123
s1-16000,development,91260,11,20,0.7104,00117 00149 00207 00333 00379 00611 00623 00949 00980,103
s1-16000,development,91261,11,20,0.6669,00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s1-16000,development,91262,8,20,0.5765,00047 00117 00149 00187 00207 00311 00333 00379 00611 00623 00949 00980,99
s1-16000,train,91260,87,89,0.9801,00163 00521,123
s1-16000,train,91261,85,89,0.9722,00163 00287 00521 00731,125
s1-16000,train,91262,85,89,0.9656,00163 00446 00521 00731,120
s1-3200,development,91260,11,20,0.6603,00149 00187 00207 00333 00379 00611 00623 00949 00980,102
s1-3200,development,91261,11,20,0.6502,00149 00187 00207 00333 00379 00623 00835 00949 00980,103
s1-3200,development,91262,9,20,0.6367,00047 00117 00149 00187 00207 00333 00379 00623 00949 00980 00981,86
s1-3200,train,91260,87,89,0.9786,00163 00335,119
s1-3200,train,91261,87,89,0.9795,00163 00521,119
s1-3200,train,91262,84,89,0.9561,00163 00446 00521 00731 00950,112
s1-4800,development,91260,11,20,0.6532,00149 00187 00207 00333 00379 00611 00623 00949 00980,104
s1-4800,train,91260,84,89,0.9619,00163 00335 00381 00522 00805,122
s1-6400,development,91260,10,20,0.6882,00047 00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s1-6400,train,91260,85,89,0.9628,00163 00335 00521 00805,125
s1-8000,development,91260,10,20,0.6239,00047 00117 00187 00207 00333 00379 00611 00623 00949 00980,107
s1-8000,train,91260,85,89,0.9626,00163 00335 00521 00805,123
s1-9600,development,91260,11,20,0.6374,00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s1-9600,train,91260,86,89,0.969,00163 00335 00521,124
s2-1600,development,91260,10,20,0.6305,00047 00149 00187 00207 00333 00379 00611 00623 00949 00980,105
s2-1600,train,91260,86,89,0.9689,00163 00335 00521,112
s2-3200,development,91260,12,20,0.7067,00047 00187 00207 00333 00379 00623 00949 00980,105
s2-3200,train,91260,85,89,0.9626,00163 00335 00521 00805,123
s2-4800,development,91260,9,20,0.6028,00047 00149 00187 00207 00333 00379 00611 00623 00949 00980 00981,108
s2-4800,train,91260,85,89,0.959,00163 00335 00521 00522,152
s2-6400,development,91260,11,20,0.6755,00047 00187 00207 00333 00379 00611 00623 00949 00980,128
s2-6400,train,91260,86,89,0.969,00163 00335 00521,151
s2-8000,development,91260,11,20,0.6832,00047 00187 00207 00333 00379 00611 00623 00949 00980,129
s2-8000,train,91260,84,89,0.9611,00163 00335 00381 00522 00805,124
s2-9600,development,91260,10,20,0.6388,00047 00149 00187 00207 00333 00379 00611 00623 00949 00980,88
s2-9600,train,91260,86,89,0.9694,00163 00335 00521,103
teacher,development,91260,15,20,0.8366,00187 00207 00379 00949 00980,117
teacher,development,91261,16,20,0.8587,00149 00207 00949 00980,124
teacher,development,91262,16,20,0.8617,00207 00379 00949 00980,125
teacher,train,91260,86,89,0.9688,00163 00335 00521,124
teacher,train,91261,88,89,0.9897,00163,130
teacher,train,91262,84,89,0.956,00163 00446 00521 00731 00950,130
