stage,split,motions,completed,mean_progress
anticipatory-v2-eval-full,train,89,77,0.9069153199369988
anticipatory-v2-eval-full,development,20,8,0.6468880672939121
best-eval-91261,train,89,8,0.39589097819636376
best-eval-91261,development,20,0,0.12059847577475011
best-eval-91262,train,89,6,0.4155834802332219
best-eval-91262,development,20,0,0.12186917220242321
broad-cvae-eval-full,train,89,6,0.3698393496988195
broad-cvae-eval-full,development,20,0,0.10181791018694639
broad-public-eval-full,train,89,5,0.36277419404032524
broad-public-eval-full,development,20,0,0.10452047064900398
causal-zero-eval-full,train,89,16,0.29400356986633175
causal-zero-eval-full,development,20,1,0.23700893740169704
current-frame-v2-eval-full,train,89,21,0.5528770419821311
current-frame-v2-eval-full,development,20,0,0.17937317132018507
final-best-91261,train,89,85,0.9610762959032246
final-best-91261,development,20,10,0.7098139829933643
final-best-91262,train,89,86,0.9691462382004502
final-best-91262,development,20,10,0.6902701868209988
online-1600-eval-full,train,89,10,0.3952338132546859
online-1600-eval-full,development,20,0,0.13922341279685496
online-2400-eval-full,train,89,14,0.43415522776292953
online-2400-eval-full,development,20,0,0.1161613769363612
online-3200-eval-full,train,89,10,0.38888917059710854
online-3200-eval-full,development,20,0,0.125479208631441
online-800-eval-full,train,89,5,0.3410235635433974
online-800-eval-full,development,20,0,0.13566773268394172
scale-1600-eval-full,train,89,86,0.9698133273154832
scale-1600-eval-full,development,20,9,0.6341529720462858
scale-3200-eval-full,train,89,88,0.9894620702089219
scale-3200-eval-full,development,20,10,0.6735766240395605
scale-4800-eval-full,train,89,86,0.9694184183320972
scale-4800-eval-full,development,20,10,0.6534563097171485
scale-6400-eval-full,train,89,86,0.9698583611360426
scale-6400-eval-full,development,20,9,0.6467589284293354
strict-cvae-eval-full,train,89,5,0.34141416450062495
strict-cvae-eval-full,development,20,0,0.10664844922721387
teacher-causal-v2-1,train,89,16,0.29400356986633175
teacher-causal-v2-1,development,20,1,0.23700893740169704
teacher-causal-v2-2,train,89,34,0.5525697892050395
teacher-causal-v2-2,development,20,6,0.5021293707191944
teacher-horizon-10,train,89,88,0.9901863177505772
teacher-horizon-10,development,20,15,0.8261947855353355
historical-bfm,train,89,5,0.31306679216161204
historical-bfm,development,20,0,0.10350954374298453
