run,takeover_tick,supported,supported_rows
00120-stop-clear-t128,128,True,388
00120-stop-clear-t61,61,True,455
00120-stop-corridor-t128,128,True,388
00120-stop-corridor-t61,61,True,454
00265-stop-clear-t47,47,True,367
00265-stop-clear-t98,98,True,304
00265-stop-corridor-t47,47,True,347
00265-stop-corridor-t98,98,True,304
00413-stop-clear-t124,124,False,0
00413-stop-clear-t59,59,False,0
00677-stop-clear-t33,33,True,239
00677-stop-clear-t69,69,True,204
00677-stop-corridor-t32,32,True,248
00677-stop-corridor-t68,68,True,204
00707-stop-clear-t26,26,True,195
00707-stop-clear-t55,55,True,199
00707-stop-corridor-t26,26,True,195
00707-stop-corridor-t55,55,True,166
00711-stop-clear-t103,103,True,312
00711-stop-clear-t49,49,True,366
00711-stop-corridor-t103,103,True,312
00711-stop-corridor-t49,49,True,366
00770-stop-clear-t40,40,True,296
00770-stop-clear-t85,85,True,254
00770-stop-corridor-t40,40,True,303
00770-stop-corridor-t85,85,True,252
00801-stop-clear-t142,142,False,0
00801-stop-clear-t68,68,False,0
00801-stop-corridor-t142,142,False,0
00801-stop-corridor-t68,68,False,0
00908-stop-clear-t26,26,True,198
00908-stop-clear-t56,56,True,168
00908-stop-corridor-t26,26,True,197
00908-stop-corridor-t55,55,True,169
00976-stop-clear-t45,45,True,338
00976-stop-clear-t95,95,True,288
00976-stop-corridor-t45,45,True,339
00976-stop-corridor-t95,95,True,308
