stage,run,takeover_tick,supported,rows,supported_rows,suffix_hold,suffix_final_distance_m,behavior
dag-approach/c2-recovery,00120-stop-clear-t128,128,True,516,388,50,0.12686688217322042,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-clear-t61,61,True,517,456,50,0.1431045172131962,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-corridor-t128,128,True,514,386,50,0.15635312118063574,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-corridor-t61,61,True,516,455,50,0.1141541992757344,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-clear-t47,47,True,466,419,50,0.243998239958055,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-clear-t98,98,True,394,296,50,0.1354137120674916,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-corridor-t47,47,True,403,356,50,0.22255735569795157,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-corridor-t98,98,True,396,298,50,0.2052175842652934,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00413-stop-clear-t124,124,True,502,378,50,0.23994351310245104,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00413-stop-clear-t59,59,True,385,326,50,0.17035109828748438,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00677-stop-clear-t33,33,True,278,245,50,0.18090681350869287,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
