stage,run,success,reached,hold,final_distance_m,max_force_n,fell,steps,stop,actor_profile,student
dag-approach/c2-recovery,00120-stop-clear-t128,True,True,50,0.127,0.0,False,516,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-clear-t61,True,True,50,0.143,0.0,False,517,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-corridor-t128,True,True,50,0.156,0.0,False,514,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00120-stop-corridor-t61,True,True,50,0.114,0.0,False,516,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-clear-t47,True,True,50,0.244,0.0,False,466,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-clear-t98,True,True,50,0.135,0.0,False,394,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-corridor-t47,True,True,50,0.223,0.0,False,403,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00265-stop-corridor-t98,True,True,50,0.205,0.0,False,396,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00413-stop-clear-t124,True,True,50,0.24,0.0,False,502,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00413-stop-clear-t59,True,True,50,0.17,0.0,False,385,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00677-stop-clear-t33,True,True,50,0.181,0.0,False,278,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00677-stop-clear-t69,True,True,50,0.237,0.0,False,272,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00677-stop-corridor-t32,True,True,50,0.168,0.0,False,279,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00677-stop-corridor-t68,True,True,50,0.179,0.0,False,279,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00707-stop-clear-t26,True,True,50,0.095,0.0,False,221,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00707-stop-clear-t55,True,True,50,0.077,0.0,False,221,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00707-stop-corridor-t26,True,True,50,0.087,0.0,False,221,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00707-stop-corridor-t55,True,True,50,0.085,0.0,False,221,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00711-stop-clear-t103,True,True,50,0.105,0.0,False,415,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00711-stop-clear-t49,True,True,50,0.174,0.0,False,414,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00711-stop-corridor-t103,True,True,50,0.081,0.0,False,415,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00711-stop-corridor-t49,True,True,50,0.099,0.0,False,415,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00770-stop-clear-t40,True,True,50,0.147,0.0,False,343,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00770-stop-clear-t85,True,True,50,0.135,0.0,False,342,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00770-stop-corridor-t40,True,True,50,0.159,0.0,False,343,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00770-stop-corridor-t85,True,True,50,0.142,0.0,False,336,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00801-stop-clear-t142,False,False,0,0.587,0.0,False,625,deadline,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00801-stop-clear-t68,False,False,0,0.297,0.0,False,625,deadline,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00801-stop-corridor-t142,True,True,50,0.171,0.0,False,562,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00801-stop-corridor-t68,True,True,50,0.227,0.0,False,561,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00908-stop-clear-t26,True,True,50,0.081,0.0,False,224,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
