stage,run,takeover_tick,supported,rows,supported_rows,suffix_hold,suffix_final_distance_m,behavior
motor-demo-91260,00120-stop-clear,0,True,516,516,50,0.073787445454169,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00120-stop-corridor,0,True,516,516,50,0.0848838058371356,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00265-stop-clear,0,True,397,397,50,0.16725116678148225,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00265-stop-corridor,0,True,396,396,50,0.17758265296382555,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00399-stop-clear,0,False,600,0,0,0.3006797841074022,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00399-stop-corridor,0,False,1,0,0,0.6031820894222472,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00413-stop-clear,0,True,508,508,50,0.19636050284886936,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00413-stop-corridor,0,False,316,0,0,0.1594817220057501,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00677-stop-clear,0,True,273,273,50,0.23441824479414555,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00677-stop-corridor,0,True,272,272,50,0.235880208606486,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00707-stop-clear,0,True,221,221,50,0.0871884614301708,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00707-stop-corridor,0,True,221,221,50,0.08379566338724546,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00711-stop-clear,0,True,415,415,50,0.008146439311624464,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00711-stop-corridor,0,True,415,415,50,0.007706570991789361,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00770-stop-clear,0,True,339,339,50,0.1494757646858946,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00770-stop-corridor,0,True,343,343,50,0.13735620099890203,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00781-stop-clear,0,False,450,0,0,1.0438397282751233,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00781-stop-corridor,0,False,115,0,0,3.6854860481169385,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00801-stop-clear,0,True,561,561,50,0.1544312895039268,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00801-stop-corridor,0,True,562,562,50,0.1602188185948139,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00908-stop-clear,0,True,223,223,50,0.08440126356314655,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00908-stop-corridor,0,True,224,224,50,0.08074968541235754,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00976-stop-clear,0,True,383,383,50,0.17703516686840112,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00976-stop-corridor,0,True,384,384,50,0.17145718710512275,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91261,00413-stop-clear,0,True,389,389,50,0.10659137872991259,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91261,00908-stop-clear,0,True,220,220,50,0.053970128577440615,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91261,00908-stop-corridor,0,True,220,220,50,0.06001353301503034,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
recovery-v1-91260,00120-stop-clear-t154,154,True,517,363,50,0.23303980571839294,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-clear-t257,257,False,575,0,0,0.8810831369919603,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-clear-t385,385,False,575,0,0,3.169053226980271,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-clear-t77,77,True,513,436,50,0.09529466555224969,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-corridor-t154,154,True,516,362,50,0.029129150471378824,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-corridor-t257,257,False,575,0,0,0.6140526717543259,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-corridor-t386,386,False,575,0,0,2.750992750542029,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00120-stop-corridor-t77,77,True,517,440,50,0.07314442586575154,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-clear-t118,118,False,500,0,0,0.5158365815327687,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-clear-t197,197,False,500,0,0,0.7875509903263965,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-clear-t295,295,False,500,0,0,0.6162798924204158,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-clear-t59,59,True,402,343,50,0.16123004324856655,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-corridor-t118,118,False,500,0,0,0.7263376392880169,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-corridor-t197,197,False,500,0,0,0.7229122963937238,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-corridor-t295,295,False,500,0,0,1.1446825588052498,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00265-stop-corridor-t59,59,True,404,345,50,0.12470497416578995,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00413-stop-clear-t148,148,True,508,360,50,0.09331713850813733,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00413-stop-clear-t248,248,False,600,0,0,0.38116573401317755,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00413-stop-clear-t372,372,False,600,0,0,0.7681983941118818,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00413-stop-clear-t74,74,True,391,317,50,0.17986222279568465,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-clear-t139,139,True,272,133,50,0.15248953365183632,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-clear-t208,208,False,350,0,0,0.46153380458048343,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-clear-t41,41,True,273,232,50,0.16808874796514467,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-clear-t83,83,True,280,197,50,0.12184846576048,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-corridor-t136,136,False,350,0,23,0.2581712613021581,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-corridor-t204,204,False,350,0,0,0.5729019326636656,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-corridor-t40,40,True,279,239,50,0.18183166999058395,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00677-stop-corridor-t81,81,True,273,192,50,0.10786824362001615,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-clear-t110,110,True,256,146,50,0.028841539895186504,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-clear-t165,165,True,221,56,50,0.036880877299679,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-clear-t33,33,True,221,188,50,0.09445577161225291,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-clear-t66,66,True,254,188,50,0.062276504258203254,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-corridor-t110,110,True,249,139,50,0.17910165205647918,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-corridor-t165,165,True,226,61,50,0.17671792725321667,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-corridor-t33,33,True,221,188,50,0.07729110950054424,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00707-stop-corridor-t66,66,True,221,155,50,0.13105408521931586,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00711-stop-clear-t124,124,True,415,291,50,0.169220815873742,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00711-stop-clear-t207,207,False,475,0,0,1.3975615425396637,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
recovery-v1-91260,00711-stop-clear-t311,311,False,475,0,0,1.4739510047999362,b613bc1f9b6f1e547d7bc669442186cd4c05d20646ef8ad393665a9a28c70e7c
