stage,run,success,reached,hold,final_distance_m,max_force_n,fell,steps,stop,actor_profile,student
motor-demo-91260,00120-stop-clear,True,True,50,0.074,0.0,False,516,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00120-stop-corridor,True,True,50,0.085,0.0,False,516,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00265-stop-clear,True,True,50,0.167,0.0,False,397,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00265-stop-corridor,True,True,50,0.178,0.0,False,396,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00399-stop-clear,False,True,0,0.301,0.0,False,600,deadline,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00399-stop-corridor,False,False,0,0.603,3859.99,False,1,contact,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00413-stop-clear,True,True,50,0.196,0.0,False,508,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00413-stop-corridor,False,True,0,0.159,110.47,False,316,contact,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00677-stop-clear,True,True,50,0.234,0.0,False,273,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00677-stop-corridor,True,True,50,0.236,0.0,False,272,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00707-stop-clear,True,True,50,0.087,0.0,False,221,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00707-stop-corridor,True,True,50,0.084,0.0,False,221,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00711-stop-clear,True,True,50,0.008,0.0,False,415,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00711-stop-corridor,True,True,50,0.008,0.0,False,415,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00770-stop-clear,True,True,50,0.149,0.0,False,339,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00770-stop-corridor,True,True,50,0.137,0.0,False,343,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00781-stop-clear,False,False,0,1.044,0.0,False,450,deadline,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00781-stop-corridor,False,False,0,3.685,824.43,False,115,contact,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00801-stop-clear,True,True,50,0.154,0.0,False,561,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00801-stop-corridor,True,True,50,0.16,0.0,False,562,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00908-stop-clear,True,True,50,0.084,0.0,False,223,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
motor-demo-91260,00908-stop-corridor,True,True,50,0.081,0.0,False,224,goal_hold,motion_full_current_v2,053b1ee2891332210d6a5e9fc17f3f9793eb851515cb0b4fd3a2e1baa53e8811
