condition,task_id,success,goal_entry,max_hold_ticks,final_hold_ticks,steps,final_distance_m,contact,fall
archived,00265-stop-clear,False,False,0,0,500,0.8136840222701825,False,False
archived,00265-stop-corridor,False,True,38,38,500,0.1699560940965929,False,False
archived,00413-stop-clear,False,False,0,0,600,0.3743378582864421,False,False
archived,00413-stop-corridor,False,False,0,0,600,0.733586893890193,False,False
archived,00908-stop-clear,False,True,0,0,350,0.3452046770310818,False,False
archived,00908-stop-corridor,False,True,42,0,350,0.5966954704911085,False,False
archived,00976-stop-clear,False,True,0,0,500,1.3153442954550538,False,False
archived,00976-stop-corridor,False,True,0,0,500,1.0985973450855415,False,False
structured,00265-stop-clear,False,False,0,0,500,0.6295406810707864,False,False
structured,00265-stop-corridor,False,False,0,0,488,0.766414965138331,True,False
structured,00413-stop-clear,False,False,0,0,600,1.3413691168788637,False,False
structured,00413-stop-corridor,False,False,0,0,600,1.9843041891662057,False,False
structured,00908-stop-clear,False,True,0,0,350,0.9273319710593335,False,False
structured,00908-stop-corridor,False,True,0,0,350,0.6939566529028074,False,False
structured,00976-stop-clear,False,True,0,0,500,1.0866027001253598,False,False
structured,00976-stop-corridor,False,True,5,0,500,0.4537370125919772,False,False
localized,00265-stop-clear,False,False,0,0,500,1.31318780030636,False,False
localized,00265-stop-corridor,False,False,0,0,500,1.2062750107827696,False,False
localized,00413-stop-clear,False,False,0,0,600,2.0131638574239723,False,False
localized,00413-stop-corridor,False,False,0,0,600,1.1881804790570336,False,False
localized,00908-stop-clear,False,True,0,0,350,0.7499852741132208,False,False
localized,00908-stop-corridor,False,False,0,0,350,1.0790373562567523,False,False
localized,00976-stop-clear,True,True,50,50,332,0.13091112656108025,False,False
localized,00976-stop-corridor,False,True,44,0,500,0.23662877989318076,False,False
