budget,arm,seed,actual_steps,tasks,solvable,adaptation_required,best_fixed,capability_minus_best_fixed
1,uniform,93201,17880,1,1,0,1,0
1,target_only,93201,17880,1,1,1,1,0
1,analytic_contrast,93201,17880,1,1,1,1,0
1,observation_curriculum,93201,17880,1,1,1,1,0
1,uniform,93202,17880,1,1,0,1,0
1,target_only,93202,17880,1,1,1,1,0
1,analytic_contrast,93202,17880,1,1,1,1,0
1,observation_curriculum,93202,17880,1,1,1,1,0
1,uniform,93203,17880,1,1,0,1,0
1,target_only,93203,17880,1,1,1,1,0
1,analytic_contrast,93203,17880,1,1,1,1,0
1,observation_curriculum,93203,17880,1,1,1,1,0
