checkpoint,seed,method,passing_recorded_branches,contexts,passing_branch_difference_vs_uniform,selected_schedule_changes_vs_uniform,mutually_successful_recorded_contexts,mean_recorded_time_difference_vs_uniform_s,selected_schedules,final_weights_differ_from_uniform
2,93201,uniform,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",False
2,93201,coverage_only,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",False
2,93201,uniform_coverage,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93201,historical_gated,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93201,historical_ungated,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93201,current_error,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93201,historical_current_error,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93202,uniform,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",False
2,93202,coverage_only,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",False
2,93202,uniform_coverage,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",True
2,93202,historical_gated,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",True
2,93202,historical_ungated,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",True
2,93202,current_error,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",True
2,93202,historical_current_error,5,6,0,0,5,0.0,"['prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265', 'prior_splice_e015_r265']",True
2,93203,uniform,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",False
2,93203,coverage_only,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",False
2,93203,uniform_coverage,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93203,historical_gated,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93203,historical_ungated,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
2,93203,current_error,5,6,0,0,5,0.0,"['prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265', 'prior_splice_e050_r265']",True
