scene,candidate_id,phase_tick,feature,value
A,primary_candidate_93201_0155,15,corridor_0_0.75_floor_fraction,0.15000000596046448
A,primary_candidate_93201_0155,15,corridor_0_0.75_ceiling_fraction,0.0
A,primary_candidate_93201_0155,15,corridor_0_0.75_minimum_ceiling_m,0.0
A,primary_candidate_93201_0155,15,corridor_0_0.75_maximum_floor_m,-0.784380316734314
A,primary_candidate_93201_0155,15,corridor_0_0.75_upper_hit,0.0
A,primary_candidate_93201_0155,15,corridor_0_0.75_lower_free_fraction,0.3499999940395355
A,primary_candidate_93201_0155,15,corridor_0_0.75_unknown_fraction,0.753333330154419
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_floor_fraction,0.3333333432674408
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_ceiling_fraction,0.0
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_minimum_ceiling_m,0.0
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_maximum_floor_m,-0.7843805551528931
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_upper_hit,0.0
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_lower_free_fraction,0.699999988079071
A,primary_candidate_93201_0155,15,corridor_0.75_1.5_unknown_fraction,0.5066666603088379
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_floor_fraction,0.03999999910593033
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_ceiling_fraction,0.0
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_minimum_ceiling_m,0.0
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_maximum_floor_m,-0.7843807339668274
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_upper_hit,1.0
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_lower_free_fraction,0.46000000834465027
A,primary_candidate_93201_0155,15,corridor_1.5_2.5_unknown_fraction,0.690666675567627
A,primary_candidate_93201_0155,15,corridor_2.5_4_floor_fraction,0.07500000298023224
A,primary_candidate_93201_0155,15,corridor_2.5_4_ceiling_fraction,0.0
A,primary_candidate_93201_0155,15,corridor_2.5_4_minimum_ceiling_m,0.0
A,primary_candidate_93201_0155,15,corridor_2.5_4_maximum_floor_m,-0.7843808531761169
A,primary_candidate_93201_0155,15,corridor_2.5_4_upper_hit,0.0
A,primary_candidate_93201_0155,15,corridor_2.5_4_lower_free_fraction,0.18125000596046448
A,primary_candidate_93201_0155,15,corridor_2.5_4_unknown_fraction,0.875
A,primary_candidate_93201_0155,15,projected_gravity_b_0,0.014042401686310768
A,primary_candidate_93201_0155,15,projected_gravity_b_1,0.011267382651567459
A,primary_candidate_93201_0155,15,projected_gravity_b_2,-0.9998379349708557
A,primary_candidate_93201_0155,15,root_lin_vel_w_0,-0.09329968690872192
A,primary_candidate_93201_0155,15,root_lin_vel_w_1,-0.019933084025979042
A,primary_candidate_93201_0155,15,root_lin_vel_w_2,0.010257935151457787
A,primary_candidate_93201_0155,15,root_ang_vel_w_0,-0.14755581319332123
A,primary_candidate_93201_0155,15,root_ang_vel_w_1,0.20365305244922638
A,primary_candidate_93201_0155,15,root_ang_vel_w_2,-0.13782909512519836
A,primary_candidate_93201_0155,15,dof_pos_0,0.009085805155336857
A,primary_candidate_93201_0155,15,dof_pos_1,0.03353406488895416
A,primary_candidate_93201_0155,15,dof_pos_2,-0.069572314620018
A,primary_candidate_93201_0155,15,dof_pos_3,0.10327263921499252
A,primary_candidate_93201_0155,15,dof_pos_4,-0.06005164608359337
A,primary_candidate_93201_0155,15,dof_pos_5,0.03130653128027916
A,primary_candidate_93201_0155,15,dof_pos_6,0.07222669571638107
A,primary_candidate_93201_0155,15,dof_pos_7,-0.275993287563324
A,primary_candidate_93201_0155,15,dof_pos_8,0.012889706529676914
A,primary_candidate_93201_0155,15,dof_pos_9,0.19658693671226501
A,primary_candidate_93201_0155,15,dof_pos_10,0.16639481484889984
A,primary_candidate_93201_0155,15,dof_pos_11,-0.0371825285255909
A,primary_candidate_93201_0155,15,dof_pos_12,-0.005214033182710409
A,primary_candidate_93201_0155,15,dof_pos_13,-0.21306273341178894
A,primary_candidate_93201_0155,15,dof_pos_14,-0.19911132752895355
A,primary_candidate_93201_0155,15,dof_pos_15,0.337043821811676
A,primary_candidate_93201_0155,15,dof_pos_16,-0.2187047004699707
A,primary_candidate_93201_0155,15,dof_pos_17,-0.07878760993480682
A,primary_candidate_93201_0155,15,dof_pos_18,0.03457052633166313
A,primary_candidate_93201_0155,15,dof_pos_19,-0.579092800617218
A,primary_candidate_93201_0155,15,dof_pos_20,0.46487537026405334
A,primary_candidate_93201_0155,15,dof_pos_21,1.069178819656372
A,primary_candidate_93201_0155,15,dof_pos_22,1.0645819902420044
A,primary_candidate_93201_0155,15,dof_pos_23,0.12470375746488571
A,primary_candidate_93201_0155,15,dof_pos_24,-0.07976265251636505
A,primary_candidate_93201_0155,15,dof_pos_25,-0.10020831227302551
A,primary_candidate_93201_0155,15,dof_pos_26,-0.08411584049463272
A,primary_candidate_93201_0155,15,dof_pos_27,0.09125583618879318
A,primary_candidate_93201_0155,15,dof_pos_28,-0.09485375881195068
A,primary_candidate_93201_0155,15,dof_vel_0,-0.2930240333080292
A,primary_candidate_93201_0155,15,dof_vel_1,-0.4001017212867737
A,primary_candidate_93201_0155,15,dof_vel_2,-0.13058938086032867
A,primary_candidate_93201_0155,15,dof_vel_3,0.25958251953125
A,primary_candidate_93201_0155,15,dof_vel_4,0.2252131998538971
A,primary_candidate_93201_0155,15,dof_vel_5,0.3145792782306671
A,primary_candidate_93201_0155,15,dof_vel_6,0.09419245272874832
A,primary_candidate_93201_0155,15,dof_vel_7,0.10011031478643417
A,primary_candidate_93201_0155,15,dof_vel_8,-0.1252707839012146
A,primary_candidate_93201_0155,15,dof_vel_9,-0.07451797276735306
A,primary_candidate_93201_0155,15,dof_vel_10,-0.024119503796100616
A,primary_candidate_93201_0155,15,dof_vel_11,0.19638678431510925
A,primary_candidate_93201_0155,15,dof_vel_12,0.24170143902301788
A,primary_candidate_93201_0155,15,dof_vel_13,0.26536375284194946
A,primary_candidate_93201_0155,15,dof_vel_14,0.4119342267513275
A,primary_candidate_93201_0155,15,dof_vel_15,-0.07429729402065277
A,primary_candidate_93201_0155,15,dof_vel_16,-0.37134331464767456
A,primary_candidate_93201_0155,15,dof_vel_17,-0.8650426864624023
A,primary_candidate_93201_0155,15,dof_vel_18,-0.2966727316379547
A,primary_candidate_93201_0155,15,dof_vel_19,-0.09975479543209076
A,primary_candidate_93201_0155,15,dof_vel_20,0.046516381204128265
A,primary_candidate_93201_0155,15,dof_vel_21,0.06112924590706825
A,primary_candidate_93201_0155,15,dof_vel_22,-0.5241026878356934
A,primary_candidate_93201_0155,15,dof_vel_23,-0.4305606186389923
A,primary_candidate_93201_0155,15,dof_vel_24,0.17698712646961212
A,primary_candidate_93201_0155,15,dof_vel_25,-0.04334757477045059
A,primary_candidate_93201_0155,15,dof_vel_26,0.025828607380390167
A,primary_candidate_93201_0155,15,dof_vel_27,0.4092712104320526
A,primary_candidate_93201_0155,15,dof_vel_28,-0.035677943378686905
A,primary_candidate_93201_0155,15,phase_s,0.30000001192092896
A,primary_candidate_93201_0155,15,active_skill,0.0
A,primary_candidate_93201_0155,15,observation_age_s,0.0
A,primary_candidate_93201_0155,15,walk_legal,1.0
A,primary_candidate_93201_0155,15,adapt_legal,1.0
A,primary_candidate_93201_0155,15,active_option_0,1.0
A,primary_candidate_93201_0155,15,active_option_1,0.0
A,primary_candidate_93201_0155,15,active_option_2,0.0
A,primary_candidate_93201_0155,15,active_option_3,0.0
A,primary_candidate_93201_0155,15,active_option_4,0.0
A,primary_candidate_93201_0155,15,active_option_5,0.0
A,primary_candidate_93201_0155,15,active_option_6,0.0
A,primary_candidate_93201_0155,15,option_0_legal,1.0
A,primary_candidate_93201_0155,15,option_1_legal,1.0
A,primary_candidate_93201_0155,15,option_2_legal,1.0
A,primary_candidate_93201_0155,15,option_3_legal,1.0
A,primary_candidate_93201_0155,15,option_4_legal,0.0
A,primary_candidate_93201_0155,15,option_5_legal,0.0
A,primary_candidate_93201_0155,15,option_6_legal,0.0
B,primary_candidate_93201_0017,15,corridor_0_0.75_floor_fraction,0.15000000596046448
B,primary_candidate_93201_0017,15,corridor_0_0.75_ceiling_fraction,0.0
B,primary_candidate_93201_0017,15,corridor_0_0.75_minimum_ceiling_m,0.0
B,primary_candidate_93201_0017,15,corridor_0_0.75_maximum_floor_m,-0.784380316734314
B,primary_candidate_93201_0017,15,corridor_0_0.75_upper_hit,0.0
