run_id,arm,acquisition_episodes,adaptation_required_lower,adaptation_required_upper,assigned_tasks,bank_solvable_lower,bank_solvable_upper,checkpoint,recorded_physics_steps,unknown_branch_outcomes
seed93201_uniform,uniform,15,0,0,1,1,1,1,17880,0
seed93201_uniform,uniform,23,0,0,2,2,2,2,27416,0
seed93201_target_only,target_only,15,1,1,1,1,1,1,17880,0
seed93201_target_only,target_only,23,1,1,2,2,2,2,27416,0
seed93201_analytic_contrast,analytic_contrast,15,1,1,1,1,1,1,17880,0
seed93201_analytic_contrast,analytic_contrast,23,2,2,2,2,2,2,27416,0
seed93201_observation_curriculum,observation_curriculum,15,1,1,1,1,1,1,17880,0
seed93201_observation_curriculum,observation_curriculum,23,2,2,2,2,2,2,27416,0
seed93202_uniform,uniform,15,0,0,1,1,1,1,17880,0
seed93202_uniform,uniform,23,0,0,2,2,2,2,27416,0
seed93202_target_only,target_only,15,1,1,1,1,1,1,17880,0
seed93202_target_only,target_only,23,1,1,2,2,2,2,27416,0
seed93202_analytic_contrast,analytic_contrast,15,1,1,1,1,1,1,17880,0
seed93202_analytic_contrast,analytic_contrast,23,2,2,2,2,2,2,27416,0
seed93202_observation_curriculum,observation_curriculum,15,1,1,1,1,1,1,17880,0
seed93202_observation_curriculum,observation_curriculum,23,2,2,2,2,2,2,27416,0
seed93203_uniform,uniform,15,0,0,1,1,1,1,17880,0
seed93203_uniform,uniform,23,0,0,2,2,2,2,27416,0
seed93203_target_only,target_only,15,1,1,1,1,1,1,17880,0
seed93203_target_only,target_only,23,1,1,2,2,2,2,27416,0
seed93203_analytic_contrast,analytic_contrast,15,1,1,1,1,1,1,17880,0
seed93203_analytic_contrast,analytic_contrast,23,2,2,2,2,2,2,27416,0
seed93203_observation_curriculum,observation_curriculum,15,1,1,1,1,1,1,17880,0
seed93203_observation_curriculum,observation_curriculum,23,2,2,2,2,2,2,27416,0
