method,seed,condition,target,test_cells,critical_cells,training_critical_cells,abstained,critical_mass,clear_mass,penetration_witness_mass,uncertain_mass,effective_grid_cells
unconditional,301,conditioned,neutral,384,0,0,False,0.0,0.001572257955558598,0.8514591455459595,0.14696857333183289,12.36152172088623
unconditional,301,conditioned,short_e015_r265,384,1,21,False,0.08097126334905624,0.08097607642412186,0.8443174958229065,0.07470643520355225,12.36152172088623
unconditional,301,conditioned,sustained_e015_r255,384,13,30,False,0.9435514807701111,0.9574863314628601,0.0018364854622632265,0.04067716747522354,12.36152172088623
unconditional,301,conditioned,prior_splice_e015_r265,384,8,20,False,0.7524306178092957,0.7663655281066895,0.08379998803138733,0.1498344987630844,12.36152172088623
unconditional,301,conditioned,prior_splice_e050_r265,384,6,19,False,0.6063666343688965,0.6133427023887634,0.08379998803138733,0.30285733938217163,12.36152172088623
unconditional,301,conditioned,short_e070_r265,384,1,21,False,0.08097126334905624,0.08097607642412186,0.8443174958229065,0.07470643520355225,12.36152172088623
unconditional,301,conditioned,sustained_e070_r255,384,14,30,False,0.9479652047157288,0.9619000554084778,0.0018364854622632265,0.036263465881347656,12.36152172088623
unconditional,301,input_rotated,neutral,384,0,0,False,0.0,0.001572257955558598,0.8514591455459595,0.14696857333183289,12.36152172088623
unconditional,301,input_rotated,short_e015_r265,384,1,21,False,0.08097126334905624,0.08097607642412186,0.8443174958229065,0.07470643520355225,12.36152172088623
unconditional,301,input_rotated,sustained_e015_r255,384,13,30,False,0.9435514807701111,0.9574863314628601,0.0018364854622632265,0.04067716747522354,12.36152172088623
unconditional,301,input_rotated,prior_splice_e015_r265,384,8,20,False,0.7524306178092957,0.7663655281066895,0.08379998803138733,0.1498344987630844,12.36152172088623
unconditional,301,input_rotated,prior_splice_e050_r265,384,6,19,False,0.6063666343688965,0.6133427023887634,0.08379998803138733,0.30285733938217163,12.36152172088623
unconditional,301,input_rotated,short_e070_r265,384,1,21,False,0.08097126334905624,0.08097607642412186,0.8443174958229065,0.07470643520355225,12.36152172088623
unconditional,301,input_rotated,sustained_e070_r255,384,14,30,False,0.9479652047157288,0.9619000554084778,0.0018364854622632265,0.036263465881347656,12.36152172088623
cover,301,conditioned,neutral,384,0,0,False,0.0,0.0006614526500925422,0.9776735305786133,0.021665051579475403,11.33984661102295
cover,301,conditioned,short_e015_r265,384,1,21,False,0.23816779255867004,0.23879694938659668,0.5709446668624878,0.1902584731578827,13.281567573547363
cover,301,conditioned,sustained_e015_r255,384,13,30,False,0.7673327326774597,0.8074409365653992,0.030526787042617798,0.1620323210954666,20.51260757446289
cover,301,conditioned,prior_splice_e015_r265,384,8,20,False,0.6474536061286926,0.7315254807472229,0.08507950603961945,0.18339493870735168,16.433311462402344
cover,301,conditioned,prior_splice_e050_r265,384,6,19,False,0.5972554087638855,0.6768394708633423,0.08188377320766449,0.24127671122550964,15.799989700317383
cover,301,conditioned,short_e070_r265,384,1,21,False,0.23814307153224945,0.2387722134590149,0.5709494948387146,0.19027826189994812,13.281744003295898
cover,301,conditioned,sustained_e070_r255,384,14,30,False,0.8063628077507019,0.8457916975021362,0.029743021354079247,0.12446542084217072,20.28412628173828
cover,301,input_rotated,neutral,384,0,0,False,0.0,0.00415111193433404,0.9243957996368408,0.07145301252603531,20.284841537475586
cover,301,input_rotated,short_e015_r265,384,1,21,False,0.23005260527133942,0.2303105741739273,0.5614588856697083,0.20823058485984802,11.33984661102295
