method,seed,condition,targets,critical_mass,clear_mass,penetration_witness_mass,abstentions
unconditional,301,conditioned,7,0.4874652091945921,0.4946598611672276,0.38733815488272477,0
unconditional,301,input_rotated,7,0.4874652091945921,0.4946598611672276,0.38733815488272477,0
cover,301,conditioned,7,0.4706736313445227,0.5056897430248293,0.3352572542748281,0
cover,301,input_rotated,7,0.43162548329148975,0.4575364853787635,0.37328391974525793,0
masked,301,conditioned,7,0.4704727402755192,0.5452321695962122,0.29828725941479206,0
masked,301,input_rotated,7,0.41187336056360174,0.4963949117809534,0.3446196908397334,0
contrast,301,conditioned,7,0.4529133843524115,0.6221014048371997,0.2262972534767285,0
contrast,301,input_rotated,7,0.3895879691200597,0.5542310110426375,0.312371563432479,0
combined,301,conditioned,7,0.3833697736263275,0.4812065362930298,0.2372330938066755,0
combined,301,input_rotated,7,0.3445275853986719,0.4391490555634456,0.34765091511820045,0
unconditional,302,conditioned,7,0.40138877289635794,0.44183037483266424,0.38503589800425936,0
unconditional,302,input_rotated,7,0.40138877289635794,0.44183037483266424,0.38503589800425936,0
cover,302,conditioned,7,0.45300343206950594,0.4956506498024932,0.34051054902374744,0
cover,302,input_rotated,7,0.40340996480413843,0.4372771148170744,0.39015104255772065,0
masked,302,conditioned,7,0.44820218213966917,0.49350848607718945,0.33656733616122175,0
masked,302,input_rotated,7,0.3938539443271501,0.4336205747510706,0.39611271156796385,0
contrast,302,conditioned,7,0.4584041642291205,0.6038046266351428,0.22003917901643685,0
contrast,302,input_rotated,7,0.3936584241958201,0.5328565841939833,0.2991080454417637,0
combined,302,conditioned,7,0.46870800852775574,0.6416668040411813,0.21671515649982862,0
combined,302,input_rotated,7,0.4016899571288377,0.5731069464236498,0.2904930306332452,0
uniform_grid,NA,conditioned,7,0.01599702445257987,0.38355658309800283,0.5922618763787406,0
geometry_screened_uniform,NA,conditioned,7,0.039602131582796574,0.9999999744551522,0.0,0
critical_oracle,NA,conditioned,7,0.8571428741727557,0.8571428741727557,0.0,1
old_gaussian_cnn,101,conditioned,7,0.0,1.0000000170298986,0.0,0
old_gaussian_cnn,102,conditioned,7,0.0,1.0,0.0,0
